tileid,class,quantile
46588,2,0.307
47297,3,0.544
48000,2,0.428
48003,3,0.811
48004,2,0.353
48005,2,0.345
48006,2,0.401
48007,2,0.376
48704,2,0.361
48711,3,0.805
48712,4,1.0
48714,3,0.787
49415,2,0.486
49416,3,0.784
49417,3,0.772
49418,2,0.415
49420,4,1.0
49421,1,0.082
49422,4,0.968
50117,2,0.296
50118,4,1.0
50122,3,0.622
50123,2,0.126
50124,1,0.078
50126,4,1.0
50127,3,0.659
50128,2,0.45
50826,4,1.0
50827,3,0.714
50829,4,1.0
50830,3,0.68
50831,2,0.136
50832,2,0.33
50833,4,0.988
50834,2,0.124
50835,2,0.306
50836,3,0.521
51537,4,0.916
51538,2,0.235
51540,4,0.987
51541,3,0.594
51542,3,0.853
51543,3,0.679
51544,2,0.347
51559,4,0.991
51562,3,0.788
52238,2,0.168
52239,2,0.434
52240,3,0.538
52243,1,0.054
52244,2,0.138
52245,3,0.756
52247,3,0.782
52249,2,0.417
52250,2,0.166
52267,2,0.222
52268,4,0.995
52269,4,0.967
52270,4,0.912
52271,4,0.955
52272,3,0.667
52273,3,0.67
52951,4,1.0
52952,2,0.398
52955,2,0.228
52956,2,0.108
52957,3,0.515
52958,3,0.537
52976,4,0.958
52977,3,0.782
52979,4,1.0
52980,4,1.0
52981,4,1.0
53659,2,0.473
53663,4,0.923
53664,3,0.612
53665,3,0.613
53666,4,0.982
54363,4,1.0
54364,3,0.69
54365,3,0.871
54366,4,1.0
54367,2,0.466
54368,3,0.814
54369,3,0.801
54370,2,0.473
54371,4,0.926
54372,4,1.0
54374,2,0.291
54375,2,0.232
54376,2,0.191
55073,4,1.0
55075,2,0.288
55078,2,0.113
55079,4,1.0
55080,3,0.566
55081,3,0.69
55082,4,0.936
55083,2,0.181
55084,2,0.166
55085,4,0.955
55778,2,0.36
55781,4,0.999
55783,1,0.088
55784,4,0.911
55786,3,0.542
55788,2,0.285
55789,3,0.511
55790,3,0.511
55793,2,0.193
56489,4,1.0
56490,4,0.998
56491,2,0.185
56492,2,0.487
56496,2,0.103
56497,3,0.871
56498,4,1.0
56500,2,0.343
56501,2,0.262
56502,4,0.999
57197,4,1.0
57198,2,0.375
57199,2,0.268
57201,3,0.505
57203,3,0.647
57205,3,0.61
57206,2,0.353
57208,2,0.197
57209,3,0.514
57210,3,0.853
57905,2,0.339
57906,3,0.804
57908,3,0.899
57909,3,0.633
57911,4,1.0
57912,2,0.467
57913,4,1.0
57914,2,0.233
57917,4,1.0
57918,3,0.812
57920,3,0.836
57921,2,0.108
58614,3,0.517
58615,2,0.163
58617,3,0.502
58618,3,0.518
58619,3,0.837
58620,4,1.0
58622,3,0.631
58623,3,0.504
58626,3,0.784
58627,4,0.963
58628,3,0.544
58629,4,0.998
59096,4,0.945
59321,2,0.314
59323,3,0.638
59324,2,0.339
59325,2,0.407
59326,3,0.896
59327,2,0.212
59328,2,0.494
59329,2,0.479
59330,4,0.992
59331,2,0.353
59332,4,0.999
59333,2,0.367
59334,3,0.891
59335,2,0.207
59805,1,0.09
59806,4,0.966
59807,4,0.999
60030,3,0.504
60031,1,0.076
60032,2,0.343
60033,2,0.138
60035,4,0.998
60036,4,0.998
60037,4,0.989
60038,4,0.998
60039,4,0.999
60040,4,0.973
60041,2,0.169
60510,2,0.253
60511,3,0.779
60512,3,0.54
60513,2,0.247
60514,2,0.386
60515,4,1.0
60516,2,0.475
60517,3,0.739
60740,1,0.083
60741,3,0.873
60742,2,0.27
60743,3,0.542
60744,2,0.142
60745,3,0.532
60746,2,0.282
60747,3,0.891
60748,3,0.701
60749,2,0.166
60750,2,0.17
61219,2,0.244
61220,3,0.57
61221,3,0.879
61222,3,0.896
