tileid,class,quantile
50123,2,0.18
52250,2,0.153
60513,2,0.219
60749,2,0.285
61225,2,0.104
63351,2,0.319
64061,2,0.3
64062,1,0.021
64294,1,0.097
64770,2,0.153
65427,2,0.105
67111,2,0.194
67114,2,0.16
67549,3,0.733
67551,1,0.086
67603,3,0.708
67606,1,0.035
67818,3,0.678
69024,2,0.188
69734,2,0.146
69953,3,0.629
70437,2,0.295
70651,2,0.433
70660,2,0.186
70672,1,0.09
70679,2,0.133
71389,2,0.131
71789,3,0.518
71793,3,0.561
71794,2,0.352
71795,2,0.334
71796,4,1.0
71797,3,0.53
71857,2,0.177
72097,2,0.147
72494,3,0.61
72500,4,0.986
72501,4,0.912
72502,1,0.064
72503,2,0.226
72508,2,0.303
72563,2,0.192
72565,2,0.129
72774,2,0.151
72776,4,1.0
72802,2,0.213
73209,3,0.584
73210,2,0.27
73270,2,0.194
73482,1,0.015
73484,4,0.986
73500,1,0.05
73508,2,0.137
73515,2,0.111
73917,2,0.326
73978,1,0.044
74193,4,0.959
74626,2,0.458
74627,2,0.361
74629,3,0.832
74630,1,0.064
74901,3,0.844
75393,2,0.16
75609,3,0.794
75636,4,0.999
76029,1,0.041
76030,2,0.196
76047,3,0.543
76050,2,0.137
76051,2,0.11
76318,3,0.867
76324,4,1.0
76339,2,0.225
76340,2,0.175
76342,2,0.392
76343,1,0.014
76344,1,0.009
76345,1,0.041
76348,2,0.141
76349,2,0.114
76351,2,0.106
76737,1,0.019
76738,2,0.247
76762,1,0.079
77026,4,0.941
77027,3,0.607
77050,2,0.424
77051,2,0.106
77205,1,0.025
77206,1,0.047
77207,2,0.222
77213,2,0.103
77453,3,0.766
77469,2,0.435
77470,1,0.065
77471,1,0.008
77733,3,0.579
77735,2,0.129
77755,2,0.19
77913,1,0.017
77914,1,0.059
77915,3,0.54
77921,2,0.152
77927,2,0.168
77928,1,0.053
78107,3,0.688
78178,2,0.175
78179,1,0.015
78441,2,0.11
78442,2,0.154
78443,2,0.121
78447,3,0.8
78448,4,0.921
78452,2,0.171
78456,3,0.582
78462,2,0.224
78463,2,0.221
78464,1,0.092
78640,1,0.085
78816,2,0.35
78883,2,0.342
78887,2,0.201
78888,1,0.045
79150,2,0.189
79151,3,0.574
79155,2,0.228
79170,2,0.221
79171,1,0.077
79347,2,0.275
79348,2,0.115
79524,2,0.333
79595,2,0.15
79596,1,0.062
79872,2,0.362
79874,2,0.235
79884,2,0.449
79896,1,0.064
80232,2,0.229
80298,2,0.382
80571,2,0.427
80580,3,0.847
80587,1,0.1
80604,2,0.119
80766,3,0.808
80940,1,0.051
80941,4,1.0
81287,2,0.221
81288,1,0.092
81292,3,0.501
81300,2,0.315
81718,2,0.209
81722,4,0.922
82185,2,0.156
82367,1,0.079
82730,1,0.053
82732,1,0.06
82894,1,0.057
83139,2,0.203
83398,2,0.137
83426,2,0.106
83433,2,0.173
83436,3,0.818
83437,2,0.411
83438,1,0.071
83439,2,0.204
83440,2,0.139
83601,2,0.214
83602,2,0.113
83603,1,0.038
84115,1,0.089
84145,2,0.365
84146,3,0.509
84149,2,0.208
84301,2,0.426
84302,1,0.033
84303,1,0.051
84304,3,0.894
84310,4,0.998
84311,3,0.612
84853,2,0.382
84858,2,0.18
85006,1,0.038
85012,2,0.251
85013,4,1.0
85014,1,0.067
85016,2,0.255
85017,2,0.306
85019,4,0.999
85020,3,0.597
85021,2,0.389
85186,3,0.685
85263,4,0.993
85533,2,0.111
85556,2,0.489
85557,2,0.361
85560,2,0.273
85566,3,0.543
85567,3,0.55
85707,2,0.371
85718,2,0.157
85725,1,0.062
85727,4,0.917
85971,2,0.174
86244,1,0.065
86264,3,0.537
86268,3,0.561
86272,1,0.072
86275,1,0.046
86422,2,0.197
86426,1,0.053
86427,3,0.54
86432,2,0.138
86433,2,0.272
86676,2,0.138
86678,2,0.166
86679,2,0.113
86949,2,0.161
86962,1,0.043
86963,1,0.096
86969,2,0.151
86974,2,0.433
86975,2,0.424
86977,4,1.0
86978,4,1.0
86981,3,0.527
86983,1,0.038
87127,2,0.201
87386,2,0.168
87387,1,0.03
87658,1,0.051
87668,2,0.158
87690,2,0.245
87691,2,0.228
87842,1,0.035
87843,2,0.417
87844,2,0.18
87845,3,0.591
87847,1,0.016
88094,2,0.42
88095,1,0.042
88380,2,0.194
88391,2,0.214
88396,2,0.156
88397,2,0.229
88398,2,0.47
88399,1,0.077
88551,2,0.382
88552,1,0.038
88553,1,0.002
88554,4,0.929
88555,2,0.195
88558,1,0.081
88559,3,0.675
88802,3,0.856
89095,2,0.159
89106,2,0.298
89107,1,0.068
