tileid,class,quantile
50123,3,0.57
52250,2,0.212
60513,3,0.805
60749,4,0.998
61225,2,0.322
63351,4,0.997
64061,4,1.0
64062,1,0.03
64294,3,0.679
64770,4,1.0
65427,2,0.185
67111,3,0.809
67114,2,0.499
67549,4,0.989
67551,2,0.166
67603,4,1.0
67606,1,0.015
67818,4,1.0
69024,3,0.745
69734,3,0.699
69953,4,0.928
70437,3,0.729
70651,4,1.0
70660,4,1.0
70672,4,0.996
70679,2,0.366
71389,4,1.0
71789,4,1.0
71793,4,1.0
71794,4,1.0
71795,3,0.732
71796,4,1.0
71797,4,1.0
71857,2,0.307
72097,4,0.972
72494,4,1.0
72500,4,1.0
72501,4,0.984
72502,2,0.106
72503,4,0.999
72508,3,0.505
72563,4,1.0
72565,2,0.497
72774,2,0.443
72776,4,1.0
72802,3,0.629
73209,4,0.997
73210,4,1.0
73270,4,1.0
73482,2,0.33
73484,4,1.0
73500,3,0.816
73508,4,1.0
73515,4,0.989
73917,4,1.0
73978,2,0.127
74193,4,1.0
74626,4,0.991
74627,4,0.987
74629,4,0.975
74630,1,0.058
74901,4,1.0
75393,3,0.575
75609,4,1.0
75636,4,1.0
76029,1,0.022
76030,4,1.0
76047,4,1.0
76050,2,0.315
76051,3,0.753
76318,4,1.0
76324,4,1.0
76339,3,0.899
76340,4,0.928
76342,4,1.0
76343,1,0.035
76344,4,0.972
76345,2,0.23
76348,4,1.0
76349,4,1.0
76351,4,0.932
76737,1,0.008
76738,4,0.965
76762,2,0.174
77026,4,1.0
77027,4,1.0
77050,4,1.0
77051,4,1.0
77205,1,0.016
77206,3,0.587
77207,4,0.929
77213,4,0.999
77453,3,0.61
77469,3,0.596
77470,2,0.123
77471,1,0.001
77733,4,1.0
77735,4,1.0
77755,4,1.0
77913,1,0.048
77914,4,0.957
77915,4,1.0
77921,4,0.998
77927,4,1.0
77928,4,1.0
78107,4,1.0
78178,2,0.306
78179,1,0.003
78441,4,0.974
78442,4,1.0
78443,4,0.998
78447,4,1.0
78448,4,1.0
78452,4,1.0
78456,3,0.672
78462,3,0.628
78463,3,0.719
78464,4,1.0
78640,1,0.033
78816,4,1.0
78883,4,1.0
78887,2,0.427
78888,2,0.145
79150,4,0.999
79151,4,1.0
79155,4,1.0
79170,4,1.0
79171,4,0.994
79347,4,1.0
79348,2,0.142
79524,4,1.0
79595,3,0.604
79596,2,0.494
79872,4,1.0
79874,4,1.0
79884,4,1.0
79896,3,0.524
80232,2,0.311
80298,4,0.997
80571,4,1.0
80580,4,1.0
80587,3,0.634
80604,4,1.0
80766,4,1.0
80940,1,0.086
80941,4,1.0
81287,4,1.0
81288,4,1.0
81292,4,1.0
81300,4,0.998
81718,2,0.333
81722,4,1.0
82185,3,0.86
82367,1,0.088
