tileid,class_1000,quantile_1000,class_rybski,quantile_rybski,class_marco,quantile_marco,class_truth,quantile_truth
50123,2,0.18,2,0.17300000000000001,2,0.209,2,0.126
52250,2,0.153,2,0.19899999999999998,2,0.196,2,0.166
60513,2,0.21899999999999997,2,0.34299999999999997,2,0.303,2,0.247
60749,2,0.285,2,0.14300000000000002,2,0.18899999999999997,2,0.166
61225,2,0.10400000000000001,1,0.087,2,0.109,1,0.079
63351,2,0.319,2,0.433,2,0.271,2,0.284
64061,2,0.3,2,0.423,2,0.49200000000000005,2,0.36200000000000004
64062,1,0.021,1,0.025,1,0.013000000000000001,1,0.013999999999999999
64294,1,0.09699999999999999,1,0.08900000000000001,1,0.08900000000000001,1,0.08900000000000001
64770,2,0.153,2,0.14300000000000002,2,0.135,2,0.154
65427,2,0.105,1,0.03,2,0.155,1,0.081
67111,2,0.19399999999999998,2,0.141,2,0.16,2,0.15
67114,2,0.16,2,0.145,2,0.19899999999999998,2,0.19
67549,3,0.733,2,0.40399999999999997,3,0.8109999999999999,2,0.436
67551,1,0.086,2,0.12300000000000001,1,0.057999999999999996,1,0.061
67603,3,0.708,3,0.805,4,1.0,3,0.518
67606,1,0.035,1,0.021,1,0.05,1,0.065
67818,3,0.6779999999999999,2,0.19899999999999998,2,0.36700000000000005,2,0.431
69024,2,0.188,2,0.20199999999999999,2,0.162,2,0.131
69734,2,0.146,2,0.14300000000000002,2,0.134,2,0.125
69953,3,0.629,2,0.188,2,0.20800000000000002,2,0.265
70437,2,0.295,2,0.191,2,0.34600000000000003,2,0.25
70651,2,0.433,2,0.278,2,0.467,2,0.293
70660,2,0.18600000000000003,2,0.111,2,0.147,2,0.11900000000000001
70672,1,0.09,1,0.064,1,0.086,1,0.063
70679,2,0.133,2,0.14,2,0.14,2,0.141
71389,2,0.131,2,0.264,1,0.085,1,0.098
71789,3,0.518,4,0.99,3,0.6920000000000001,3,0.509
71793,3,0.561,2,0.361,2,0.33,2,0.281
71794,2,0.35200000000000004,2,0.179,2,0.177,2,0.13
71795,2,0.33399999999999996,2,0.11199999999999999,2,0.27,2,0.17300000000000001
71796,4,1.0,3,0.86,4,0.973,4,0.9990000000000001
71797,3,0.53,2,0.45,3,0.83,3,0.5379999999999999
71857,2,0.177,2,0.187,2,0.22699999999999998,2,0.198
72097,2,0.147,2,0.13,2,0.214,2,0.11699999999999999
72494,3,0.61,3,0.738,4,1.0,3,0.6679999999999999
72500,4,0.986,2,0.325,4,1.0,2,0.203
72501,4,0.912,2,0.37,3,0.873,3,0.545
72502,1,0.064,1,0.003,1,0.008,1,0.006
72503,2,0.226,1,0.068,2,0.165,1,0.052000000000000005
72508,2,0.303,2,0.452,2,0.38,2,0.402
72563,2,0.192,2,0.151,2,0.376,2,0.153
72565,2,0.129,2,0.18100000000000002,2,0.141,1,0.095
72774,2,0.151,1,0.07400000000000001,2,0.11900000000000001,2,0.149
72776,4,1.0,4,1.0,4,1.0,4,1.0
72802,2,0.213,2,0.161,2,0.231,2,0.245
73209,3,0.584,2,0.418,2,0.46799999999999997,3,0.58
73210,2,0.27,2,0.35700000000000004,2,0.385,3,0.552
73270,2,0.19399999999999998,2,0.109,2,0.335,2,0.17
73482,1,0.015,1,0.042,1,0.024,1,0.018000000000000002
73484,4,0.986,2,0.465,3,0.846,3,0.757
73500,1,0.05,1,0.05,1,0.043,1,0.049
73508,2,0.13699999999999998,2,0.15,2,0.146,2,0.16
73515,2,0.111,2,0.157,2,0.149,1,0.085
73917,2,0.326,2,0.132,2,0.28800000000000003,2,0.183
73978,1,0.044000000000000004,1,0.053,1,0.07,1,0.051
74193,4,0.9590000000000001,2,0.425,4,0.924,4,0.9670000000000001
74626,2,0.45799999999999996,2,0.16399999999999998,3,0.534,2,0.358
74627,2,0.361,1,0.078,2,0.23399999999999999,2,0.318
74629,3,0.8320000000000001,2,0.358,3,0.879,3,0.544
74630,1,0.064,1,0.08,2,0.146,1,0.086
74901,3,0.8440000000000001,2,0.419,4,1.0,4,0.993
75393,2,0.16,2,0.154,2,0.179,2,0.205
75609,3,0.794,2,0.386,3,0.6809999999999999,2,0.327
75636,4,0.9990000000000001,4,1.0,4,1.0,4,1.0
76029,1,0.040999999999999995,1,0.040999999999999995,1,0.039,1,0.031
76030,2,0.196,2,0.326,2,0.40299999999999997,2,0.303
76047,3,0.5429999999999999,2,0.332,3,0.674,2,0.466
76050,2,0.13699999999999998,1,0.073,2,0.127,2,0.106
76051,2,0.11,1,0.06,2,0.207,1,0.087
76318,3,0.867,2,0.18600000000000003,4,0.955,4,0.905
76324,4,1.0,3,0.763,4,1.0,3,0.835
76339,2,0.225,2,0.272,2,0.213,2,0.21600000000000003
76340,2,0.175,2,0.17800000000000002,2,0.251,2,0.165
76342,2,0.392,2,0.41200000000000003,2,0.424,2,0.446
76343,1,0.013999999999999999,1,0.004,1,0.006,1,0.005
76344,1,0.009000000000000001,1,0.006999999999999999,1,0.006999999999999999,1,0.006
76345,1,0.040999999999999995,1,0.04,1,0.027999999999999997,1,0.024
76348,2,0.141,2,0.14,2,0.16399999999999998,2,0.114
76349,2,0.114,2,0.134,2,0.121,2,0.15
76351,2,0.106,2,0.113,2,0.107,1,0.081
76737,1,0.019,1,0.026000000000000002,1,0.031,1,0.009000000000000001
76738,2,0.247,1,0.059000000000000004,2,0.304,1,0.059000000000000004
76762,1,0.079,1,0.09300000000000001,1,0.07200000000000001,1,0.091
77026,4,0.941,2,0.38799999999999996,4,0.934,4,1.0
77027,3,0.607,2,0.149,2,0.38,3,0.584
77050,2,0.424,2,0.27699999999999997,2,0.46799999999999997,3,0.73
77051,2,0.106,1,0.08,1,0.063,1,0.051
77205,1,0.025,1,0.028999999999999998,1,0.023,1,0.016
77206,1,0.047,1,0.023,1,0.037000000000000005,1,0.026000000000000002
77207,2,0.222,2,0.138,2,0.317,2,0.27399999999999997
77213,2,0.10300000000000001,2,0.151,2,0.172,2,0.124
77453,3,0.7659999999999999,2,0.368,4,0.95,2,0.461
77469,2,0.435,2,0.17300000000000001,3,0.505,2,0.326
77470,1,0.065,1,0.045,1,0.096,1,0.071
77471,1,0.008,1,0.01,1,0.004,1,0.006999999999999999
77733,3,0.579,1,0.092,2,0.348,2,0.355
77735,2,0.129,1,0.059000000000000004,3,0.6609999999999999,1,0.08800000000000001
77755,2,0.19,2,0.16,2,0.248,2,0.203
77913,1,0.017,1,0.022000000000000002,1,0.006999999999999999,1,0.008
77914,1,0.059000000000000004,1,0.045,1,0.048,1,0.025
77915,3,0.54,2,0.248,3,0.52,2,0.294
77921,2,0.152,2,0.161,2,0.133,1,0.099
77927,2,0.168,2,0.11199999999999999,2,0.124,2,0.13699999999999998
77928,1,0.053,1,0.077,1,0.055,1,0.047
78107,3,0.688,3,0.718,3,0.5820000000000001,3,0.557
78178,2,0.175,4,1.0,2,0.11599999999999999,1,0.07400000000000001
78179,1,0.015,1,0.017,1,0.015,1,0.012
78441,2,0.11,1,0.045,2,0.11699999999999999,1,0.079
78442,2,0.154,2,0.24,2,0.363,2,0.177
78443,2,0.121,1,0.009000000000000001,1,0.031,1,0.023
78447,3,0.8,2,0.175,3,0.8140000000000001,4,0.98
78448,4,0.9209999999999999,2,0.488,4,0.977,3,0.8590000000000001
78452,2,0.171,2,0.10800000000000001,2,0.203,2,0.132
78456,3,0.5820000000000001,2,0.177,2,0.445,2,0.2
78462,2,0.22399999999999998,1,0.08199999999999999,2,0.142,2,0.14800000000000002
78463,2,0.221,1,0.065,2,0.225,2,0.166
78464,1,0.092,1,0.068,2,0.10800000000000001,1,0.07200000000000001
78640,1,0.085,1,0.051,2,0.146,1,0.061
78816,2,0.35,2,0.377,2,0.377,2,0.366
78883,2,0.342,4,0.9990000000000001,4,0.9840000000000001,2,0.47100000000000003
78887,2,0.201,2,0.128,2,0.165,2,0.21600000000000003
78888,1,0.045,1,0.036000000000000004,1,0.026000000000000002,1,0.047
79150,2,0.18899999999999997,1,0.098,2,0.474,2,0.377
79151,3,0.574,2,0.23399999999999999,3,0.622,3,0.78
79155,2,0.228,1,0.09699999999999999,2,0.195,2,0.16399999999999998
79170,2,0.221,2,0.43200000000000005,2,0.402,2,0.39399999999999996
79171,1,0.077,1,0.051,1,0.052000000000000005,1,0.04
79347,2,0.275,2,0.264,2,0.401,3,0.784
79348,2,0.115,1,0.051,2,0.10099999999999999,1,0.08800000000000001
79524,2,0.33299999999999996,2,0.35700000000000004,2,0.336,2,0.28800000000000003
79595,2,0.15,2,0.10099999999999999,2,0.213,2,0.217
79596,1,0.062,1,0.052000000000000005,1,0.040999999999999995,1,0.063
79872,2,0.36200000000000004,2,0.264,3,0.545,2,0.406
79874,2,0.235,2,0.165,2,0.20600000000000002,2,0.187
79884,2,0.449,2,0.35200000000000004,2,0.434,2,0.424
79896,1,0.064,1,0.066,1,0.057999999999999996,1,0.069
80232,2,0.22899999999999998,2,0.11199999999999999,1,0.069,1,0.065
80298,2,0.382,4,0.99,4,0.981,2,0.462
80571,2,0.42700000000000005,2,0.179,2,0.483,2,0.207
80580,3,0.847,2,0.445,3,0.698,3,0.767
80587,1,0.1,1,0.086,2,0.115,2,0.106
80604,2,0.11900000000000001,2,0.105,1,0.064,1,0.07400000000000001
80766,3,0.8079999999999999,3,0.605,4,0.9159999999999999,4,0.97
80940,1,0.051,1,0.075,1,0.046,1,0.046
80941,4,1.0,4,1.0,4,1.0,4,1.0
81287,2,0.221,2,0.188,2,0.228,2,0.188
81288,1,0.092,1,0.081,1,0.064,1,0.076
81292,3,0.501,2,0.408,2,0.316,2,0.44
81300,2,0.315,2,0.23199999999999998,2,0.171,2,0.222
81718,2,0.209,2,0.129,2,0.217,2,0.128
81722,4,0.922,3,0.7609999999999999,2,0.354,3,0.563
82185,2,0.156,1,0.042,1,0.092,2,0.204
82367,1,0.079,2,0.14400000000000002,1,0.08199999999999999,1,0.087
82730,1,0.053,1,0.05,1,0.023,1,0.028999999999999998
82732,1,0.06,1,0.07200000000000001,1,0.055999999999999994,1,0.040999999999999995
82894,1,0.057,1,0.024,2,0.126,1,0.086
83139,2,0.203,2,0.16699999999999998,2,0.207,2,0.188
83398,2,0.13699999999999998,2,0.155,2,0.11800000000000001,1,0.087
83426,2,0.106,2,0.10300000000000001,2,0.109,1,0.09
83433,2,0.17300000000000001,2,0.359,2,0.14800000000000002,2,0.11699999999999999
83436,3,0.818,2,0.42100000000000004,3,0.852,3,0.79
83437,2,0.41100000000000003,2,0.258,2,0.33299999999999996,3,0.509
83438,1,0.071,1,0.035,2,0.113,1,0.052000000000000005
83439,2,0.204,2,0.24,2,0.305,2,0.32799999999999996
83440,2,0.139,2,0.134,2,0.15,2,0.166
83601,2,0.214,1,0.051,2,0.213,2,0.16699999999999998
83602,2,0.113,1,0.085,2,0.136,1,0.084
83603,1,0.038,1,0.027999999999999997,1,0.037000000000000005,1,0.037000000000000005
84115,1,0.08900000000000001,2,0.115,1,0.063,1,0.05
84145,2,0.365,2,0.162,2,0.452,3,0.511
84146,3,0.509,2,0.133,2,0.24100000000000002,2,0.335
84149,2,0.20800000000000002,2,0.248,2,0.344,2,0.337
84301,2,0.426,2,0.102,2,0.327,1,0.055999999999999994
84302,1,0.033,1,0.024,1,0.021,1,0.031
84303,1,0.051,1,0.044000000000000004,1,0.061,1,0.047
84304,3,0.894,2,0.21100000000000002,4,0.9470000000000001,3,0.809
84310,4,0.998,3,0.522,4,0.998,4,1.0
84311,3,0.612,2,0.12,2,0.316,3,0.8809999999999999
84853,2,0.382,2,0.23600000000000002,3,0.519,3,0.655
84858,2,0.18,1,0.081,2,0.247,2,0.36700000000000005
85006,1,0.038,1,0.053,1,0.043,1,0.047
85012,2,0.251,2,0.212,2,0.302,2,0.3
85013,4,1.0,4,1.0,4,1.0,4,1.0
85014,1,0.067,1,0.084,1,0.067,1,0.066
85016,2,0.255,2,0.133,2,0.29,2,0.384
85017,2,0.306,2,0.126,2,0.268,3,0.52
85019,4,0.9990000000000001,4,0.9740000000000001,4,1.0,4,1.0
85020,3,0.597,2,0.11599999999999999,3,0.511,3,0.758
85021,2,0.389,2,0.122,2,0.225,2,0.359
85186,3,0.685,3,0.649,3,0.6759999999999999,2,0.435
85263,4,0.993,4,0.965,4,0.958,4,0.932
85533,2,0.111,2,0.146,2,0.135,1,0.077
85556,2,0.489,2,0.41,3,0.522,2,0.35100000000000003
85557,2,0.361,2,0.151,2,0.18100000000000002,2,0.266
85560,2,0.273,2,0.278,2,0.348,2,0.23800000000000002
85566,3,0.5429999999999999,2,0.244,2,0.41,3,0.57
85567,3,0.55,2,0.23600000000000002,2,0.43200000000000005,3,0.809
85707,2,0.371,3,0.574,3,0.624,3,0.555
85718,2,0.157,1,0.042,2,0.14300000000000002,2,0.161
85725,1,0.062,1,0.057,2,0.102,1,0.091
85727,4,0.917,3,0.5820000000000001,4,0.988,4,1.0
85971,2,0.174,2,0.106,2,0.139,2,0.18600000000000003
86244,1,0.065,1,0.064,1,0.066,1,0.057
86264,3,0.537,2,0.39899999999999997,2,0.322,2,0.494
86268,3,0.561,2,0.29,2,0.365,2,0.303
86272,1,0.07200000000000001,1,0.055999999999999994,1,0.071,1,0.066
86275,1,0.046,1,0.045,1,0.052000000000000005,1,0.052000000000000005
