tileid,class,quantile
50123,2,0.178
52250,1,0.094
60513,2,0.286
60749,2,0.134
61225,1,0.012
63351,4,0.912
64061,4,1.0
64062,1,0.004
64294,2,0.238
64770,1,0.049
65427,1,0.042
67110,4,0.934
67111,2,0.22
67114,2,0.138
67549,2,0.338
67551,2,0.263
67603,1,0.057
67606,1,0.002
67818,4,1.0
68315,1,0.091
69024,1,0.009
69730,1,0.014
69734,2,0.418
69953,3,0.696
70437,4,1.0
70651,4,1.0
70660,2,0.284
70672,1,0.03
70679,1,0.083
71389,2,0.273
71789,3,0.831
71793,1,0.061
71794,1,0.067
71795,1,0.055
71796,3,0.83
71797,2,0.268
71857,2,0.168
72097,4,0.909
72494,4,0.931
72500,2,0.246
72501,4,0.92
72502,1,0.005
72503,1,0.024
72508,4,0.947
72563,1,0.054
72564,2,0.425
72565,1,0.012
72774,2,0.112
72776,3,0.852
72802,2,0.332
73208,4,0.997
73209,3,0.893
73210,4,0.929
73270,1,0.083
73482,1,0.044
73484,3,0.798
73500,1,0.035
73508,1,0.074
73515,1,0.026
73913,2,0.315
73917,2,0.195
73978,1,0.001
74193,4,1.0
74626,3,0.796
74627,3,0.896
74629,4,1.0
74630,1,0.071
74901,4,1.0
75322,1,0.014
75336,4,0.92
75393,3,0.888
75609,2,0.341
75610,4,1.0
76029,1,0.029
76030,2,0.347
76031,2,0.329
76047,2,0.129
76050,1,0.057
76051,1,0.013
76318,4,0.984
76324,3,0.775
76339,2,0.342
76340,2,0.316
76342,2,0.477
76343,1,0.004
76344,1,0.0
76345,1,0.03
76348,2,0.384
76349,2,0.264
76351,1,0.078
76737,1,0.004
76738,1,0.028
76760,2,0.275
76761,4,0.901
76762,1,0.065
77026,4,1.0
77027,3,0.714
77050,3,0.705
77051,1,0.014
77205,1,0.002
77206,1,0.005
77207,4,0.944
77213,2,0.487
77444,2,0.307
77446,4,0.914
77450,3,0.877
77453,2,0.271
77469,3,0.896
77470,1,0.029
77471,1,0.0
77733,4,0.943
77734,4,1.0
77735,2,0.345
77738,4,1.0
77746,1,0.065
77753,2,0.315
77755,3,0.628
77757,2,0.332
77913,1,0.003
77914,1,0.009
77915,1,0.044
77921,3,0.762
77927,1,0.006
77928,1,0.018
78107,2,0.329
78178,1,0.06
78179,1,0.0
78441,1,0.043
78442,4,0.937
78443,1,0.041
78447,4,1.0
78448,4,0.991
78452,1,0.072
78456,4,0.998
78462,2,0.332
78463,2,0.308
78464,1,0.057
78640,2,0.101
78816,1,0.081
78860,1,0.008
78883,2,0.307
78884,1,0.049
78887,1,0.039
78888,1,0.006
79150,2,0.316
79151,3,0.814
79155,4,0.976
79167,4,1.0
79168,3,0.788
79170,3,0.821
79171,1,0.016
79346,3,0.548
79347,4,0.977
79348,1,0.093
79524,1,0.03
79595,2,0.239
79596,1,0.009
79872,4,0.933
79874,3,0.744
79884,4,0.998
79896,1,0.082
80057,4,1.0
80232,1,0.009
80298,3,0.766
80302,2,0.311
80571,3,0.833
80572,4,1.0
80580,3,0.58
80581,3,0.741
80587,2,0.127
80604,3,0.643
80766,4,1.0
80940,1,0.001
80941,4,1.0
81287,2,0.327
81288,1,0.027
81292,4,1.0
81293,4,1.0
81295,4,0.914
81300,2,0.341
81301,2,0.336
81308,1,0.016
81718,3,0.897
81722,3,0.87
